id,title,author,price
44ea6102-2410-4047-8a20-c90d02ce132e,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,18
15e02559-8b43-47ef-b0e8-96f0e11d3b32,When the Storm Breaks,Heather Lowell,17
115aa487-175b-4691-baaf-0b4d9a6848f9,A Tree Grows in Brooklyn,Betty Smith,15
c233d0de-551e-484b-a805-cd36cd5284be,The Poisonwood Bible: A Novel,Barbara Kingsolver,19
acf4010b-4a47-44f2-8214-f085e6c602f6,Bel Canto: A Novel,Ann Patchett,19
62aae2b7-f750-42af-8707-3fea25ade53d,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,14
aeae266d-6fc0-4cfe-9ff9-6ea2f523f574,The Tao of Pooh,Benjamin Hoff,14
dd4eefba-6820-4be7-95c0-898d139245e7,Girl in Hyacinth Blue,Susan Vreeland,19
4f07bc44-b075-4c35-a9a3-2664ada39d8c,Chocolat,Joanne Harris,13
96eb78fb-645b-4feb-9ad1-f282b34a0811,The Secret Life of Bees,Sue Monk Kidd,13
ecbb773d-c0cd-4322-921b-a9cabac2cd89,The Purpose-Driven Life: What on Earth Am I Here For?,Rick Warren,11
52770e32-2d55-4211-8b41-3145e0edfd86,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,14
6ac48375-47ac-4a99-9ab1-a3381be184d0,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,19
c20ad766-0e8b-4c07-aeeb-d6c860de6fcf,Lucky : A Memoir,Alice Sebold,19
fba016e9-7b60-4439-8960-17665a732372,The Dogs of Babel (Today Show Book Club #12),Carolyn Parkhurst,17
f7b075bd-dfb9-4c59-b95c-b43812cc0fd9,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,16
debe23ff-66e9-4920-8624-7b03ea8ca54c,White Oleander : A Novel,Janet Fitch,16
3b90f266-ebb6-45de-b78c-3733e110a261,The Jester,James Patterson,10
0358a186-492d-4dd3-8f71-51470b4a40a5,The Lovely Bones: A Novel,Alice Sebold,10
53911624-7577-4ce1-82f9-82de56449e1b,Me Talk Pretty One Day,David Sedaris,11
71c57c3a-f5ae-4832-ba81-2e3d1134fe43,Naked,David Sedaris,15
a788523d-d674-463a-b4f3-f40159214128,Private Screening,Richard North Patterson,18
e950c34c-1eec-4f3b-b1c3-77656fefc945,Escape the Night,Richard North Patterson,13
3dea2096-9082-4bd5-9b27-d517204dc57d,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,14
d5a4f2ed-31a8-4f45-a59d-34cea24b7a49,A Prayer for Owen Meany,John Irving,16
8e07836c-d35c-4472-949a-f6735f39d62b,Silent Witness,RICHARD NORTH PATTERSON,13
e559fa49-c569-4dfd-a7a5-663d30372ab1,No Safe Place,RICHARD NORTH PATTERSON,12
6d9d3e15-4d88-4a9d-8754-9587a28813f1,Dark Lady,Richard North Patterson,12
6cb352fc-dc64-4da7-90f8-77ebc49a3079,The Last Don,MARIO PUZO,10
97c185a3-50a0-4629-a0cc-0571e8638dff,The Murder Book,Jonathan Kellerman,16
602994ff-3e27-4f25-b6f7-d15099f972ef,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,11
9b6738db-8075-4716-92dc-8f53a08d2899,Stanislaski Sisters,Nora Roberts,11
5f9dfdf1-bcdb-44b2-a50a-ced9947264a1,Middlesex: A Novel,Jeffrey Eugenides,17
caf81f92-0cbe-4876-8696-c14a6d85e781,House of Leaves,Mark Z. Danielewski,15
dc39d104-aeda-4f8f-b22e-fc1a6372b7eb,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,16
2e05d68e-26ba-425f-9bfe-2107ceae3e30,The Indian in the Cupboard,Lynne Reid Banks,18
9ac2de52-71ee-4212-84df-c662ed0adf07,The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,11
f83fcc0d-513f-449d-8d12-d96812c5e5e0,Postmortem,Patricia Daniels Cornwell,16
