user,rating,title
277427,10.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
3363,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
11676,6.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
12538,10.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
13552,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
16795,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
24194,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
25981,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
26535,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
28204,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
30533,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
31826,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
41084,7.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
43246,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
44728,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
51883,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
52584,10.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
55548,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
60244,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
71712,6.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
77809,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
80538,7.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
81045,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
82407,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
82831,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
86243,7.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
88733,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
110934,6.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
111947,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
112026,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
113270,5.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
119575,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
126604,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
128696,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
128835,8.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
130474,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
131837,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
150979,8.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
155147,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
159858,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
164096,8.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
165308,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
170518,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
172030,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
173291,7.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
173415,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
174216,5.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
174304,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
178667,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
179733,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
183995,10.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
184299,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
185233,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
188010,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
190807,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
196077,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
198711,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
200226,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
201526,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
204864,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
208671,7.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
209516,9.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
211426,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
225763,7.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
228998,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
229741,7.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
230249,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
234597,7.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
235842,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
238120,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
243077,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
250405,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
250962,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
258938,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
264317,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
265313,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
266226,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
266865,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
269566,7.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
271705,0.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
277427,7.0,When the Storm Breaks
11676,8.0,When the Storm Breaks
26535,0.0,When the Storm Breaks
69697,0.0,When the Storm Breaks
98391,8.0,When the Storm Breaks
114368,5.0,When the Storm Breaks
182085,10.0,When the Storm Breaks
30276,7.0,When the Storm Breaks
30972,0.0,When the Storm Breaks
35857,0.0,When the Storm Breaks
40889,0.0,When the Storm Breaks
43842,0.0,When the Storm Breaks
159033,0.0,When the Storm Breaks
162639,0.0,When the Storm Breaks
175003,0.0,When the Storm Breaks
190925,7.0,When the Storm Breaks
227520,0.0,When the Storm Breaks
231210,0.0,When the Storm Breaks
234359,8.0,When the Storm Breaks
234623,0.0,When the Storm Breaks
238557,0.0,When the Storm Breaks
247447,10.0,When the Storm Breaks
247752,9.0,When the Storm Breaks
262399,0.0,When the Storm Breaks
266056,0.0,When the Storm Breaks
268330,0.0,When the Storm Breaks
277427,0.0,A Tree Grows in Brooklyn
11676,9.0,A Tree Grows in Brooklyn
13552,0.0,A Tree Grows in Brooklyn
24194,0.0,A Tree Grows in Brooklyn
88733,0.0,A Tree Grows in Brooklyn
238120,0.0,A Tree Grows in Brooklyn
266226,10.0,A Tree Grows in Brooklyn
98741,0.0,A Tree Grows in Brooklyn
265889,0.0,A Tree Grows in Brooklyn
55187,0.0,A Tree Grows in Brooklyn
162639,0.0,A Tree Grows in Brooklyn
92979,0.0,A Tree Grows in Brooklyn
11601,0.0,A Tree Grows in Brooklyn
85526,10.0,A Tree Grows in Brooklyn
117251,10.0,A Tree Grows in Brooklyn
130571,0.0,A Tree Grows in Brooklyn
133747,0.0,A Tree Grows in Brooklyn
143415,10.0,A Tree Grows in Brooklyn
156150,10.0,A Tree Grows in Brooklyn
164027,0.0,A Tree Grows in Brooklyn
165319,0.0,A Tree Grows in Brooklyn
206567,0.0,A Tree Grows in Brooklyn
222296,0.0,A Tree Grows in Brooklyn
224138,0.0,A Tree Grows in Brooklyn
224349,0.0,A Tree Grows in Brooklyn
233911,10.0,A Tree Grows in Brooklyn
246311,0.0,A Tree Grows in Brooklyn
251844,9.0,A Tree Grows in Brooklyn
263163,0.0,A Tree Grows in Brooklyn
263877,0.0,A Tree Grows in Brooklyn
264031,0.0,A Tree Grows in Brooklyn
277427,0.0,The Poisonwood Bible: A Novel
11676,0.0,The Poisonwood Bible: A Novel
16795,4.0,The Poisonwood Bible: A Novel
30533,8.0,The Poisonwood Bible: A Novel
43246,0.0,The Poisonwood Bible: A Novel
52584,0.0,The Poisonwood Bible: A Novel
55548,0.0,The Poisonwood Bible: A Novel
60244,0.0,The Poisonwood Bible: A Novel
77809,8.0,The Poisonwood Bible: A Novel
110934,0.0,The Poisonwood Bible: A Novel
113270,8.0,The Poisonwood Bible: A Novel
128696,0.0,The Poisonwood Bible: A Novel
174304,0.0,The Poisonwood Bible: A Novel
178667,0.0,The Poisonwood Bible: A Novel
185233,0.0,The Poisonwood Bible: A Novel
204864,9.0,The Poisonwood Bible: A Novel
235842,0.0,The Poisonwood Bible: A Novel
238120,0.0,The Poisonwood Bible: A Novel
265313,0.0,The Poisonwood Bible: A Novel
98741,0.0,The Poisonwood Bible: A Novel
142524,0.0,The Poisonwood Bible: A Novel
78783,0.0,The Poisonwood Bible: A Novel
131046,0.0,The Poisonwood Bible: A Novel
102967,0.0,The Poisonwood Bible: A Novel
142093,0.0,The Poisonwood Bible: A Novel
127429,0.0,The Poisonwood Bible: A Novel
135149,6.0,The Poisonwood Bible: A Novel
138844,9.0,The Poisonwood Bible: A Novel
43842,0.0,The Poisonwood Bible: A Novel
159033,0.0,The Poisonwood Bible: A Novel
19664,0.0,The Poisonwood Bible: A Novel
21014,0.0,The Poisonwood Bible: A Novel
35859,0.0,The Poisonwood Bible: A Novel
87555,0.0,The Poisonwood Bible: A Novel
197364,0.0,The Poisonwood Bible: A Novel
217375,0.0,The Poisonwood Bible: A Novel
236757,8.0,The Poisonwood Bible: A Novel
85526,8.0,The Poisonwood Bible: A Novel
130571,0.0,The Poisonwood Bible: A Novel
164027,5.0,The Poisonwood Bible: A Novel
233911,0.0,The Poisonwood Bible: A Novel
263163,0.0,The Poisonwood Bible: A Novel
254,0.0,The Poisonwood Bible: A Novel
6251,0.0,The Poisonwood Bible: A Novel
7346,0.0,The Poisonwood Bible: A Novel
13273,9.0,The Poisonwood Bible: A Novel
16634,0.0,The Poisonwood Bible: A Novel
17950,0.0,The Poisonwood Bible: A Novel
21659,0.0,The Poisonwood Bible: A Novel
22625,9.0,The Poisonwood Bible: A Novel
